"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000025796","BCK_eIF4E_RIP_2016.csv~1.513",NA,NA
"ENSG00000025800","BCK_eIF4E_RIP_2016.csv~1.1284",NA,NA
"ENSG00000026297","BCK_eIF4E_RIP_2016.csv~1.1077",NA,NA
"ENSG00000027869","BCK_eIF4E_RIP_2016.csv~1.3638",NA,NA
"ENSG00000028277","BCK_eIF4E_RIP_2016.csv~1.3325",NA,NA
"ENSG00000028310","BCK_eIF4E_RIP_2016.csv~1.3008",NA,NA
"ENSG00000028528","BCK_eIF4E_RIP_2016.csv~1.2186",NA,NA
"ENSG00000029534","BCK_eIF4E_RIP_2016.csv~1.1260",NA,"MG_eIF4E_OE_DSG_2018.csv~1.3;MG_eIF4E_OE_DSG_2018.csv~1.183"
"ENSG00000029725","BCK_eIF4E_RIP_2016.csv~1.139",NA,NA
"ENSG00000030066","BCK_eIF4E_RIP_2016.csv~1.220",NA,NA
"ENSG00000030582","BCK_eIF4E_RIP_2016.csv~1.1078",NA,NA
"ENSG00000031698","BCK_eIF4E_RIP_2016.csv~1.523",NA,NA
"ENSG00000031823","BCK_eIF4E_RIP_2016.csv~1.2093",NA,NA
"ENSG00000032219","BCK_eIF4E_RIP_2016.csv~1.442",NA,NA
"ENSG00000033050","BCK_eIF4E_RIP_2016.csv~1.1535",NA,NA
"ENSG00000033327","BCK_eIF4E_RIP_2016.csv~1.3479",NA,NA
"ENSG00000033627","BCK_eIF4E_RIP_2016.csv~1.3073",NA,NA
"ENSG00000034152","BCK_eIF4E_RIP_2016.csv~1.2267",NA,NA
"ENSG00000035403","BCK_eIF4E_RIP_2016.csv~1.1828",NA,NA
"ENSG00000035664","BCK_eIF4E_RIP_2016.csv~1.2929",NA,NA
"ENSG00000037042","BCK_eIF4E_RIP_2016.csv~1.3587",NA,NA
"ENSG00000037474","BCK_eIF4E_RIP_2016.csv~1.2715",NA,NA
"ENSG00000037757","BCK_eIF4E_RIP_2016.csv~1.2239",NA,NA
"ENSG00000038219","BCK_eIF4E_RIP_2016.csv~1.2079",NA,NA
"ENSG00000038358","BCK_eIF4E_RIP_2016.csv~1.67",NA,NA
"ENSG00000038532","BCK_eIF4E_RIP_2016.csv~1.1759",NA,NA
"ENSG00000039523","BCK_eIF4E_RIP_2016.csv~1.1108",NA,NA
"ENSG00000039650","BCK_eIF4E_RIP_2016.csv~1.1401",NA,NA
"ENSG00000040199","BCK_eIF4E_RIP_2016.csv~1.1509",NA,NA
"ENSG00000040531","BCK_eIF4E_RIP_2016.csv~1.1622",NA,NA
"ENSG00000040933","BCK_eIF4E_RIP_2016.csv~1.2021",NA,NA
"ENSG00000041802","BCK_eIF4E_RIP_2016.csv~1.1662",NA,NA
"ENSG00000041880","BCK_eIF4E_RIP_2016.csv~1.2347",NA,NA
"ENSG00000042062","BCK_eIF4E_RIP_2016.csv~1.3636",NA,NA
"ENSG00000042286","BCK_eIF4E_RIP_2016.csv~1.3020",NA,NA
"ENSG00000042445","BCK_eIF4E_RIP_2016.csv~1.2130",NA,NA
"ENSG00000042832","BCK_eIF4E_RIP_2016.csv~1.3660",NA,NA
"ENSG00000043143","BCK_eIF4E_RIP_2016.csv~1.895",NA,NA
"ENSG00000044090","BCK_eIF4E_RIP_2016.csv~1.962",NA,NA
"ENSG00000044115","BCK_eIF4E_RIP_2016.csv~1.1564",NA,NA
"ENSG00000044446","BCK_eIF4E_RIP_2016.csv~1.2588",NA,NA
"ENSG00000046651","BCK_eIF4E_RIP_2016.csv~1.1275",NA,NA
"ENSG00000047056","BCK_eIF4E_RIP_2016.csv~1.2296",NA,NA
"ENSG00000047578","BCK_eIF4E_RIP_2016.csv~1.2720",NA,NA
"ENSG00000047579","BCK_eIF4E_RIP_2016.csv~1.1358",NA,NA
"ENSG00000047644","BCK_eIF4E_RIP_2016.csv~1.2805",NA,NA
"ENSG00000047849","BCK_eIF4E_RIP_2016.csv~1.2198",NA,NA
"ENSG00000048028","BCK_eIF4E_RIP_2016.csv~1.429",NA,NA
"ENSG00000048471","BCK_eIF4E_RIP_2016.csv~1.158",NA,NA
"ENSG00000048707","BCK_eIF4E_RIP_2016.csv~1.2168",NA,NA
"ENSG00000048828","BCK_eIF4E_RIP_2016.csv~1.437",NA,NA
"ENSG00000049246","BCK_eIF4E_RIP_2016.csv~1.3166",NA,NA
"ENSG00000049541","BCK_eIF4E_RIP_2016.csv~1.278",NA,NA
"ENSG00000049618","BCK_eIF4E_RIP_2016.csv~1.1052",NA,NA
"ENSG00000049656","BCK_eIF4E_RIP_2016.csv~1.490",NA,NA
"ENSG00000049768","BCK_eIF4E_RIP_2016.csv~1.3466",NA,NA
"ENSG00000049860","BCK_eIF4E_RIP_2016.csv~1.583",NA,NA
"ENSG00000050393","BCK_eIF4E_RIP_2016.csv~1.882",NA,NA
"ENSG00000050426","BCK_eIF4E_RIP_2016.csv~1.696",NA,"MG_eIF4E_OE_DSG_2018.csv~1.59"
"ENSG00000050438","BCK_eIF4E_RIP_2016.csv~1.3767",NA,NA
"ENSG00000050748","BCK_eIF4E_RIP_2016.csv~1.382",NA,NA
"ENSG00000051009","BCK_eIF4E_RIP_2016.csv~1.864",NA,NA
