Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
DND1,1.21578544164058,4.881553170068,3.96871852074415e-5,2.25003810283062e-4,2.20914259105689,ENSG00000256453
EPHA10,1.21696988742715,4.96740506608364,3.14326193294218e-5,1.88494086260454e-4,2.42623615412761,ENSG00000183317
OVGP1,1.21794032708039,4.56507352633231,9.36786351931982e-5,4.51626335207312e-4,1.4134157202533,ENSG00000085465
TSSK4,1.22040349580482,5.77108408674264,3.5754215919903e-6,3.41855767036502e-5,4.46179699957779,ENSG00000139908
KSR1,1.22133873138074,2.46382387152662,0.020250087333824,0.039552713081847,-3.16940275564256,ENSG00000141068
MSH5-SAPCD1,1.22271166923663,8.01149531303496,1.11480280448799e-8,4.37265402134971e-7,9.99737018285186,ENSG00000255419
CDK11A,1.22535648465061,8.71421622308573,2.06804810459372e-9,1.19206332273499e-7,11.6374867218155,ENSG00000008128
TYMS,1.22759321218644,5.21071607698482,1.62383983289453e-5,1.11961298727933e-4,3.04002550791399,ENSG00000176890
ZNF185,1.22903871147967,2.87716970349222,0.0076535639675777,0.0173899581713443,-2.4097972992608,ENSG00000147394
YY2,1.23181447650566,3.52261649713295,0.00150751822692696,0.00437365567378608,-1.05411110201908,ENSG00000230797
PRR22,1.2328088053987,2.9495999549934,0.00671261738074292,0.0155347435747211,-2.29544451907947,ENSG00000212123
NCK2,1.23392120342395,2.79448324577961,0.00934390413201871,0.020599746535235,-2.56894873468766,ENSG00000071051
PAK1,1.237252345913,2.67542812048443,0.0126079837445384,0.0264912531081634,-2.80088667848702,ENSG00000149269
WNT6,1.23939798542763,2.63054321044831,0.0139984396267936,0.0289628273585117,-2.88414461066001,ENSG00000115596
ZNF554,1.24273939893334,4.19238854803601,2.56197729778599e-4,0.00101843696439545,0.506742296625762,ENSG00000172006
USP35,1.24637472601659,4.3941497016207,1.48760722616615e-4,6.5425489896054e-4,0.996289049071046,ENSG00000118369
SPRN,1.24794426466159,6.18897380573442,1.17169211801043e-6,1.44464185832188e-5,5.5179288320058,ENSG00000203772
CORO2A,1.25725609467268,4.94924333960191,3.30220100102713e-5,1.9639246723012e-4,2.37767566279023,ENSG00000106789
LRRC37A3,1.25734037922383,2.89838362315044,0.00726895620313751,0.016629578570103,-2.36980170944406,ENSG00000176809
STX16-NPEPL1,1.25876601633368,2.92457691552515,0.00696714347069686,0.0160380183829889,-2.33046429752414,ENSG00000254995
BHLHE41,1.26643468763512,4.11419142184626,3.16002392044481e-4,0.00120101260419013,0.320830061027625,ENSG00000123095
IL17REL,1.26706318527578,2.88586396455157,0.00749366675967555,0.0170714643868868,-2.39617420832174,ENSG00000188263
SYCE2,1.27047068514185,3.23589734227673,0.00314342543836943,0.00812161044106475,-1.68136819978928,ENSG00000161860
ATP6V1G2,1.28157796487688,4.83315051122527,4.52628664852995e-5,2.50275892495163e-4,2.07957169034119,ENSG00000227587
TGM1,1.28200920156873,2.63948169055687,0.0134962478625667,0.0280804144230293,-2.85670769447948,ENSG00000092295
TUBG2,1.28291704238911,8.24266436450389,6.3592566126364e-9,2.87673270389751e-7,10.5406414946009,ENSG00000037042
AKR7A3,1.2918478814199,3.28958135539897,0.00274326682136723,0.00724046211461898,-1.56672394736404,ENSG00000162482
SAMD10,1.2963220892829601,5.54164357672433,6.63143313665033e-6,5.54027647446147e-5,3.8768354349637,ENSG00000130590
TRO,1.29977236075972,7.59965728724821,3.08290556191927e-8,9.0966733887268e-7,9.01086126714814,ENSG00000067445
NINL,1.30073389357631,4.22987179773336,2.31641470604874e-4,9.38003126351187e-4,0.597525765930604,ENSG00000101004
CYP2E1,1.30576942439299,5.14612597400039,1.93483190482035e-5,1.28622235638928e-4,2.86870554908099,ENSG00000130649
CDH26,1.30726049173194,3.77581949028806,7.77240801925094e-4,0.00250893021665676,-0.480319251349095,ENSG00000124215
PCDHGB3,1.31037995413337,5.08383420269737,2.2912472623383e-5,1.47336618162151e-4,2.71199525196334,ENSG00000262209
PCOLCE,1.31535189257122,3.8244484063066,7.16302649108583e-4,0.00234508995813517,-0.404924164760139,ENSG00000106333
SLC26A5,1.3166238238006,2.87677884691295,0.00766082746062521,0.0174034160842165,-2.41628225629545,ENSG00000170615
AK1,1.31741825856078,9.04961874728995,9.46961343507023e-10,6.3701549858817e-8,12.4003046210551,ENSG00000106992
